@relation training-set-BOOKKEEPER
@attribute LOC
@attribute NR 
@attribute NAuth 
@attribute CC
@attribute NComm
@attribute LOC_Added 
@attribute MAX_LOC_Added
@attribute  AVG_LOC_Added
@attribute Churn 
@attribute MAX_Churn
@attribute AVG_Churn 
@attribute Buggy {'true', 'false'}
@data
149,2,1,5,17,3,2,1.5,1,1,0.5,false
31,1,1,1,17,1,1,1.0,0,0,0.0,false
94,0,0,4,23,0,0,0.0,0,0,0.0,true
54,2,2,1,17,1,1,0.5,9,9,4.5,false
63,1,1,1,21,4,4,4.0,0,0,0.0,true
366,4,1,35,17,24,14,6.0,1,1,0.25,true
185,4,2,8,23,22,16,5.5,1,1,0.25,true
586,3,1,54,21,59,48,19.666666666666668,1,1,0.3333333333333333,true
105,1,1,1,20,1,1,1.0,44,44,44.0,true
154,3,2,5,26,8,5,2.6666666666666665,79,68,26.333333333333332,true
57,1,1,1,21,4,4,4.0,0,0,0.0,false
104,1,1,1,20,7,7,7.0,0,0,0.0,true
237,1,1,1,21,20,20,20.0,0,0,0.0,true
71,3,1,6,17,7,3,2.3333333333333335,1,1,0.3333333333333333,false
124,1,1,10,17,3,3,3.0,0,0,0.0,false
98,0,0,17,20,0,0,0.0,0,0,0.0,false
183,3,1,17,17,19,12,6.333333333333333,3,3,1.0,true
49,0,0,7,17,0,0,0.0,0,0,0.0,false
148,0,0,5,13,0,0,0.0,0,0,0.0,true
36,1,1,1,17,5,5,5.0,0,0,0.0,true
79,2,1,4,17,15,13,7.5,1,1,0.5,false
133,2,1,10,17,6,5,3.0,0,0,0.0,true
37,0,0,1,17,0,0,0.0,0,0,0.0,false
160,3,1,8,17,7,3,2.3333333333333335,1,1,0.3333333333333333,true
253,1,1,17,20,2,2,2.0,2,2,2.0,true
27,1,1,1,17,1,1,1.0,0,0,0.0,false
92,3,2,3,17,34,31,11.333333333333334,1,1,0.3333333333333333,true
64,1,1,2,17,1,1,1.0,0,0,0.0,true
551,6,2,74,25,70,26,11.666666666666666,21,16,3.5,true
196,5,2,14,25,28,9,5.6,18,9,3.6,true
204,0,0,14,22,0,0,0.0,0,0,0.0,false
27,0,0,1,17,0,0,0.0,0,0,0.0,false
77,1,1,1,30,2,2,2.0,0,0,0.0,false
6367,1,1,550,2,5855,5855,5855.0,272,272,272.0,true
704,2,1,28,17,38,36,19.0,1,1,0.5,true
105,2,1,6,17,50,48,25.0,1,1,0.5,true
471,8,2,56,27,162,104,20.25,64,40,8.0,true
216,3,2,1,20,8,6,2.6666666666666665,0,0,0.0,true
81,3,2,1,24,11,7,3.6666666666666665,1,1,0.3333333333333333,false
48,1,1,1,23,2,2,2.0,0,0,0.0,false
162,1,1,18,17,1,1,1.0,0,0,0.0,true
92,2,2,8,20,29,29,14.5,11,11,5.5,true
47,1,1,1,21,4,4,4.0,0,0,0.0,false
144,0,0,1,26,0,0,0.0,0,0,0.0,true
165,3,2,13,26,17,11,5.666666666666667,27,26,9.0,true
39,0,0,3,17,0,0,0.0,0,0,0.0,false
157,7,2,10,24,53,26,7.571428571428571,14,12,2.0,true
123,3,1,12,17,7,4,2.3333333333333335,1,1,0.3333333333333333,true
427,2,1,54,17,12,10,6.0,1,1,0.5,true
533,7,3,64,21,23,8,3.2857142857142856,14,7,2.0,true
83,2,1,4,17,3,2,1.5,1,1,0.5,false
149,4,2,10,25,19,14,4.75,16,15,4.0,true
153,1,1,14,17,2,2,2.0,0,0,0.0,false
38,1,1,2,20,5,5,5.0,0,0,0.0,true
64,1,1,2,17,1,1,1.0,0,0,0.0,false
130,3,1,6,17,12,8,4.0,1,1,0.3333333333333333,true
137,4,2,1,16,132,113,33.0,15,13,3.75,true
37,0,0,1,22,0,0,0.0,0,0,0.0,false
58,1,1,1,22,1,1,1.0,0,0,0.0,false
32,0,0,1,17,0,0,0.0,0,0,0.0,true
28,0,0,1,17,0,0,0.0,0,0,0.0,false
39,1,1,1,24,1,1,1.0,0,0,0.0,false
103,5,2,9,20,24,10,4.8,6,3,1.2,true
74,0,0,2,17,0,0,0.0,0,0,0.0,false
63,1,1,1,17,4,4,4.0,0,0,0.0,false
137,3,2,12,17,98,94,32.666666666666664,2,1,0.6666666666666666,false
173,3,2,11,27,20,17,6.666666666666667,3,2,1.0,true
132,2,2,6,24,7,7,3.5,75,75,37.5,false
67,3,2,1,17,9,7,3.0,0,0,0.0,false
148,2,1,15,26,10,8,5.0,1,1,0.5,false
78,1,1,3,17,4,4,4.0,0,0,0.0,true
174,2,1,13,20,10,8,5.0,1,1,0.5,false
377,3,2,6,20,20,11,6.666666666666667,0,0,0.0,true
43,0,0,1,17,0,0,0.0,0,0,0.0,true
244,4,2,25,25,96,64,24.0,10,6,2.5,false
76,1,1,2,17,2,2,2.0,0,0,0.0,false
